"Title","Author.Creator","Year","Region","to_annotate","annotation_characters","annotation_events","annotation_settings","score_characters","score_events","score_settings","fictionility"
"The Bible","Various",100,"Middle East","The Bible by Various written in 100","Evaluating the main protagonists of the Bible, such as figures like Abraham, Moses, and Jesus, requires considering the historical and cultural context of the time. Many of these characters are believed to have been real individuals by the people of the historical period in which the Bible was written. For instance, Abraham and Moses are central figures in Jewish tradition, and Jesus is a foundational figure in Christianity. These characters are often considered to have existed, though their stories may include miraculous events or divine interactions that are not verifiable by historical methods. However, the belief in their existence was strong among the people of the time, and they are often treated as historical figures within their respective religious traditions. Therefore, based on the worldview and beliefs of people in the historical period of the work, these characters would be considered real or believed to have existed. Score=0","Evaluating the Bible, particularly focusing on the events described within its texts, requires considering the worldview and beliefs of people during the historical period in which it was written. The Bible contains a mix of historical events, religious teachings, and mythological narratives. 

1. **Actual Historical Events**: Some events, such as the existence of certain historical figures and places, align with archaeological and historical evidence. For example, the existence of the Kingdom of Israel and certain kings like David and Solomon are supported by historical records. These would be considered as Score=0 or Score=1 depending on the level of detail and embellishment.

2. **Invented Historical Events**: Many events in the Bible, such as the creation story in Genesis, the parting of the Red Sea, and the miracles performed by Jesus, are considered by modern standards to be mythological or symbolic. However, in the context of the time, these events were often believed to be possible due to divine intervention.

3. **Probability and Possibility**: Events like the Great Flood or the Tower of Babel, while not supported by modern historical or scientific evidence, were within the realm of possibility for ancient peoples who believed in the omnipotence of God. These events might be seen as Score=2 or Score=3, as they involve divine actions that were considered possible within the belief systems of the time.

4. **Violations of Real-World Laws**: Miraculous events, such as the resurrection of Jesus or the transformation of water into wine, involve violations of natural laws. For the people of the time, these were seen as acts of divine power, making them possible within their worldview, but they would require moderate to extreme violations of real-world laws by modern standards.

Considering the worldview of the time and the nature of the events described, the Bible contains a range of events from historical to mythological. Overall, many of the miraculous events would be categorized as requiring moderate to extreme violations of real-world laws, but within the context of divine intervention, they were seen as possible.

Score=5","Evaluating the geographical settings of the Bible, particularly considering the worldview and beliefs of people around the year 100 CE, involves recognizing a mix of real and invented locations. Many locations in the Bible, such as Jerusalem, Egypt, and Babylon, are real geographical places that were well-known to people of that time. However, the Bible also includes locations like the Garden of Eden and the Land of Nod, which are more mythical or symbolic in nature. 

From the perspective of people in the historical period of the Bible, these locations might have been considered possible or even probable, as they were part of the cultural and religious narratives of the time. The existence of such places would not have required extreme violations of the real-world laws as understood by people of that era, but they do involve some degree of invention and mythological interpretation.

Given this context, the Bible's settings can be seen as a blend of real locations with invented details and some invented locations whose existence might have been considered possible or probable by the people of that time. Therefore, the score reflects the mix of real and mythological elements, leaning towards the invented but plausible within the historical context.

Score=2",0,5,2,7
"The Epic of Gilgamesh","Anonymous",-2100,"Mesopotamia","The Epic of Gilgamesh by Anonymous written in -2100","The Epic of Gilgamesh is an ancient Mesopotamian literary work that features the main protagonist, Gilgamesh, who is described as a historical king of Uruk. However, the narrative includes numerous mythological elements and divine attributes, such as Gilgamesh being two-thirds god and one-third human. This blend of historical and mythological aspects reflects the beliefs of the time, where divine ancestry and extraordinary feats were often attributed to rulers. While Gilgamesh may have been based on a real king, the epic's portrayal involves significant mythological embellishments that go beyond mere biographical invention. Therefore, considering the worldview of the period, Gilgamesh's character would be classified as a real character with invented biographical details. Score=1","The Epic of Gilgamesh is an ancient Mesopotamian text that blends historical elements with mythological and fantastical events. The narrative includes the historical figure of Gilgamesh, who was a king of Uruk, suggesting a basis in actual historical events. However, the epic also features numerous mythological elements, such as interactions with gods, the creation of Enkidu by the goddess Aruru, and the journey to the Cedar Forest to battle the monster Humbaba. Additionally, the story includes a great flood narrative, which parallels other ancient flood myths. 

From the perspective of the people in the historical period of the work, these mythological elements were likely seen as possible within their worldview, which included a pantheon of gods actively influencing human affairs. However, from a modern perspective, these events involve significant violations of real-world laws, such as divine intervention and mythical creatures. 

Considering the worldview of the time, the events in the epic would be seen as possible but involve minor to moderate violations of real-world laws as understood by the people of that era. Therefore, the work can be evaluated as involving invented historical events whose occurrence is not possible but involves moderate violations of real-world laws.

Score=5","The Epic of Gilgamesh is an ancient Mesopotamian text that features a mix of real and mythical locations. The city of Uruk, where much of the story takes place, is a real geographical location that was a significant urban center in ancient Sumer. Other locations, such as the Cedar Forest and the abode of the gods, are more mythical in nature. The Cedar Forest, while based on real cedar forests in the region, is depicted with fantastical elements, such as being guarded by the monster Humbaba. The journey to the ends of the earth and the crossing of the Waters of Death to reach Utnapishtim also involve mythical geography. Given the worldview and beliefs of people in the historical period of the work, these locations would have been seen as possible but not probable, as they blend real geographical knowledge with mythological elements. Therefore, the invented locations in the epic involve minor violations of real-world laws according to the beliefs of the time. Score=4",1,5,4,10
"Harry Potter (series)","J.K. Rowling",1997,"United Kingdom","Harry Potter (series) by J.K. Rowling written in 1997","The main protagonists of the ""Harry Potter"" series by J.K. Rowling include characters such as Harry Potter, Hermione Granger, and Ron Weasley, who are depicted as wizards and witches. These characters possess magical abilities that allow them to perform spells, fly on broomsticks, and interact with magical creatures. The existence of such characters requires moderate violations of real-world laws, as they operate within a magical framework that is not possible according to the natural laws of our world. However, the series is set in a world that closely resembles our own, with the magical elements being hidden from the non-magical population. Given the historical period of the work (late 20th century), the belief in such magical characters is not supported by the prevailing worldview. Therefore, the characters are invented and their existence is not possible, involving moderate violations of real-world laws. Score=5","The ""Harry Potter"" series by J.K. Rowling is a work of fantasy literature that involves a world where magic is real and wizards and witches coexist with non-magical people (Muggles). The events in the series include magical spells, creatures, and objects that defy the known laws of physics and biology. From the perspective of the historical period in which the series was written (late 20th century), these events are not possible and require significant violations of real-world laws. The existence of a hidden magical society, the use of wands to cast spells, and the presence of magical creatures like dragons and house-elves are all elements that involve extreme violations of the natural laws as understood in the modern world. Therefore, the events in the ""Harry Potter"" series would be classified as highly imaginative and fantastical. Score=6","The ""Harry Potter"" series by J.K. Rowling is set in a world that includes both real geographical locations and invented ones. The series features real places like London and King's Cross Station, which are depicted with some invented details, such as Platform 9¾. Additionally, it introduces entirely fictional locations like Hogwarts School of Witchcraft and Wizardry, Diagon Alley, and Hogsmeade. These locations are crafted with a magical context that involves moderate violations of real-world laws, such as the existence of magic, magical creatures, and enchanted objects. While these settings are not possible in the real world, they are presented in a way that is internally consistent within the magical universe of the series. Given the historical period of the work (late 20th century), the existence of such magical locations would not be considered probable or possible according to the real-world understanding of that time. Therefore, the settings in the ""Harry Potter"" series would be evaluated as invented locations whose existence is not possible but involves moderate violations of real-world laws. Score=5",5,6,5,16
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",2011,"Israel","Sapiens: A Brief History of Humankind by Yuval Noah Harari written in 2011","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction book that explores the history and development of Homo sapiens. The main protagonists in this work are real characters, specifically the species Homo sapiens and other hominins that are believed to have existed based on scientific evidence. Harari discusses the evolution, behaviors, and societal developments of these real human ancestors and their impact on the world. Since the book is grounded in historical and scientific research, the characters are real or believed to have existed, with no fictionalization involved. Therefore, according to the specified scale, the work should be evaluated as follows: Score=0","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction work that explores the history of Homo sapiens from the emergence of archaic human species to the present. The book is based on actual historical events and scientific theories, with Harari providing interpretations and insights into human history. While Harari does engage in some speculative discussions about the future and the implications of historical events, the core content is grounded in historical and anthropological research. Therefore, the events described in the book are actual historical events or believed to have occurred, with some interpretation and analysis added by the author. 

Score=0","""Sapiens: A Brief History of Humankind"" by Yuval Noah Harari is a non-fiction work that explores the history and development of Homo sapiens. The book primarily discusses real geographical locations and historical events, focusing on the evolution of humans and the development of societies across the globe. Harari's work is grounded in historical and anthropological research, and the settings he describes are based on real places that exist or have existed. There are no invented locations in the book, as it is a factual account of human history. Therefore, the settings in ""Sapiens"" align with real geographical locations or those believed to exist, without any fictional or speculative elements. Score=0",0,0,0,0
"Shark Attack (film series)","Various (first film by Bob Misiorowski)",1999,"United States","Shark Attack (film series) by Various (first film by Bob Misiorowski) written in 1999","The ""Shark Attack"" film series primarily features characters who are marine biologists, researchers, and other individuals who could plausibly exist in the real world. These characters are invented but their existence is entirely possible within the context of the late 20th century, as they are based on real-world professions and roles. The series does not require any significant suspension of disbelief regarding the characters themselves, as they do not possess supernatural abilities or characteristics that defy real-world laws. Therefore, the main protagonists fall into the category of invented characters whose existence would be possible. Score=2","The ""Shark Attack"" film series, starting with the first film directed by Bob Misiorowski in 1999, revolves around the premise of aggressive and often mutated sharks attacking humans. While shark attacks are real historical events, the series often exaggerates these occurrences with elements such as genetically altered sharks or sharks behaving in ways that are not typical of their species. 

In evaluating the degree of invention, probability, and possibility according to the worldview and beliefs of people in the late 20th century, the series presents scenarios that are not probable. The idea of sharks being genetically modified to become more aggressive or to exhibit unusual behaviors involves a moderate violation of real-world biological laws as understood at the time. While genetic modification was a known concept, the specific outcomes depicted in the films are not scientifically plausible.

Therefore, the events in the ""Shark Attack"" series would be classified as invented historical events whose occurrence is not possible but involves moderate violations of real-world laws. 

Score=5","The ""Shark Attack"" film series primarily takes place in real-world locations, such as coastal areas and oceans, which are known to exist. The settings are based on actual geographical locations where shark attacks could plausibly occur. While the films may include some exaggerated or fictionalized details about these locations for dramatic effect, the geographical settings themselves are grounded in reality. Therefore, the degree of invention is minimal, and the settings align with real-world geography and possibilities. 

Score=1",2,5,1,8
"1984","George Orwell",1949,"United Kingdom","1984 by George Orwell written in 1949","In George Orwell's ""1984,"" the main protagonist is Winston Smith. He is a character that is entirely invented by Orwell, but his existence is entirely possible within the context of the novel's setting. The novel is set in a dystopian future where totalitarian regimes have taken control, and while the specific historical and political circumstances are fictional, the character of Winston Smith is a plausible human being. He is an ordinary man with a job, personal thoughts, and emotions, all of which are consistent with real human behavior. Given the historical period of the work, the character does not require any violations of real-world laws to exist. Therefore, Winston Smith would be classified as an invented character whose existence would be possible. Score=2","George Orwell's ""1984"" is a dystopian novel set in a totalitarian future where the government exercises extreme control over every aspect of life, including thought. The events depicted in the novel, such as the existence of a pervasive surveillance state, the manipulation of truth and history, and the concept of thoughtcrime, are invented but are grounded in the political and social context of the mid-20th century. At the time of writing, the possibility of such a regime was conceivable, especially given the rise of totalitarian states like Nazi Germany and the Soviet Union. Therefore, the events in ""1984"" are invented historical events whose occurrence would be possible, reflecting the fears and concerns of the era in which Orwell wrote. Score=2","In George Orwell's ""1984,"" the setting is a dystopian future version of London, part of a superstate called Oceania. The geographical locations mentioned, such as London and Airstrip One, are real or based on real places, but they are presented with invented details that reflect a totalitarian regime. The existence of such a setting is possible within the context of the mid-20th century worldview, as it extrapolates from existing political and social trends of the time. Therefore, the setting involves real geographical locations with invented details that are plausible within the historical context of the work. Score=1",2,2,1,5
"The Tale of Genji","Murasaki Shikibu",1000,"Japan","The Tale of Genji by Murasaki Shikibu written in 1000","""The Tale of Genji"" by Murasaki Shikibu is a classic work of Japanese literature written in the early 11th century. The main protagonist, Hikaru Genji, is a fictional character, but his existence would be possible within the context of the Heian period in Japan. The story is set in a realistic courtly environment, and the characters are depicted with human emotions and social interactions that align with the historical and cultural context of the time. There are no supernatural elements or violations of real-world laws in the characterization of Genji. Therefore, according to the worldview and beliefs of people in the historical period of the work, Genji would be considered an invented character whose existence would be possible. Score=2","""The Tale of Genji"" by Murasaki Shikibu is a classic work of Japanese literature from the Heian period. It is often considered the world's first novel. The narrative follows the life and loves of Hikaru Genji, a nobleman, and is set in a courtly environment that reflects the customs and culture of the time.

In terms of historical events, ""The Tale of Genji"" does not focus on actual historical events or figures. Instead, it presents a fictionalized account of court life, with invented characters and events. The story is deeply rooted in the cultural and social norms of the Heian period, making the events plausible within that context, even though they are not based on real historical occurrences.

Given the worldview and beliefs of people during the Heian period, the events in ""The Tale of Genji"" would be seen as possible, as they reflect the intricacies of court life, relationships, and politics of the time. There are no supernatural elements or significant violations of real-world laws in the narrative.

Therefore, the events in ""The Tale of Genji"" can be classified as invented historical events whose occurrence would be possible within the context of the period. 

Score=2","""The Tale of Genji"" by Murasaki Shikibu is a classic work of Japanese literature written in the early 11th century. The settings in the novel are primarily based on real geographical locations in Japan, particularly around the Heian-kyō (modern-day Kyoto), which was the capital of Japan at the time. The narrative includes detailed descriptions of the imperial court and various residences, gardens, and landscapes that reflect the real-world geography and cultural context of the Heian period.

While the novel may include some artistic embellishments or idealized portrayals of these settings, they are grounded in the actual geography and social structures of the time. Therefore, the settings in ""The Tale of Genji"" align with real geographical locations, albeit with some invented details to enhance the narrative.

Score=1",2,2,1,5
"The Nibelungenlied","Anonymous",1200,"Germany","The Nibelungenlied by Anonymous written in 1200","The Nibelungenlied is a medieval epic poem that features characters such as Siegfried, Kriemhild, and Hagen. In the context of the worldview and beliefs of people in the historical period of the work, these characters are a mix of historical and legendary figures. Siegfried, for instance, is a legendary hero with traits such as invulnerability (except for a single spot) due to bathing in dragon's blood, which involves minor violations of real-world laws. However, the existence of such a character would have been considered possible within the mythological and legendary framework of the time. Kriemhild and Hagen, while involved in legendary narratives, are depicted in ways that align with the social and cultural norms of the period, making their existence more plausible. Therefore, considering the blend of legendary and historical elements, the characters in The Nibelungenlied would be assessed as invented characters whose existence is not possible but involves minor violations of real-world laws. Score=4","The Nibelungenlied is a medieval epic poem that blends historical events with mythological and legendary elements. The poem is based on the historical backdrop of the Burgundian kingdom and the Huns, which were real entities in the early medieval period. However, the narrative includes significant mythological components, such as the character of Siegfried, his invulnerability except for one spot, and the dragon he slays. These elements reflect the beliefs and storytelling traditions of the time, which often included fantastical occurrences as part of their worldview. While the setting and some events may have historical roots, the inclusion of dragons and invulnerability involves minor violations of real-world laws as understood in the medieval period. Therefore, the work can be classified as involving invented historical events whose occurrence is not possible but involves minor violations of real-world laws. Score=4","The Nibelungenlied is a medieval epic poem that primarily takes place in real geographical locations known to the people of the time, such as Worms, the capital of the Burgundian kingdom, and the court of the Huns, which corresponds to the historical region associated with Attila the Hun. These locations were well-known to the audience of the period and were believed to exist. While the poem includes fantastical elements and legendary figures, the settings themselves are based on real places with some invented details to suit the narrative. Therefore, according to the worldview and beliefs of people in the historical period of the work, the settings would be considered real with some embellishments. Score=1",4,4,1,9
"The Divine Comedy","Dante Alighieri",1320,"Italy","The Divine Comedy by Dante Alighieri written in 1320","In ""The Divine Comedy"" by Dante Alighieri, the main protagonist is Dante himself, who embarks on a journey through Hell, Purgatory, and Paradise. Dante, as a historical figure, was a real person, and his character in the poem is based on his own life and experiences. However, the journey he undertakes is a fictional and allegorical one, involving encounters with various historical, mythological, and fictional characters. 

From the perspective of people in the historical period of the work, the existence of Dante as a character is real, but the journey he undertakes involves interactions with supernatural beings and realms that are not possible according to real-world laws. However, these elements are deeply rooted in the religious and cultural beliefs of the time, which accepted the existence of an afterlife and divine intervention as part of their worldview. 

Given that Dante is a real character with an invented journey that involves minor violations of real-world laws (such as traveling through the afterlife), the appropriate score is based on the character's existence and the nature of his journey. 

Score=1","The Divine Comedy by Dante Alighieri is a narrative poem that describes the journey of the protagonist, Dante, through the realms of Hell, Purgatory, and Heaven. The events depicted in the poem involve a detailed exploration of the afterlife, which includes encounters with historical and mythological figures, as well as allegorical representations of theological concepts. 

From the perspective of people in the historical period when the work was written, the existence of an afterlife was a widely held belief, and the structure of Hell, Purgatory, and Heaven as described by Dante was influenced by the religious and philosophical ideas of the time. However, the specific events and detailed descriptions of the afterlife, such as the various circles of Hell and the punishments assigned to different sins, are imaginative constructs created by Dante for the purpose of his allegory.

While the concept of an afterlife was considered possible and even probable according to the beliefs of the period, the specific events and detailed depictions in The Divine Comedy involve significant creative invention. These events require moderate violations of real-world laws, as they describe a supernatural journey that cannot occur in the physical world.

Score=5","The Divine Comedy by Dante Alighieri is a literary work that describes a journey through three realms: Inferno (Hell), Purgatorio (Purgatory), and Paradiso (Paradise). These settings are deeply rooted in the medieval Christian worldview and are not based on real geographical locations. 

1. **Inferno**: This is depicted as a series of concentric circles beneath the Earth, each representing different sins and punishments. While the concept of Hell was a widely accepted belief in the medieval period, the specific geography and structure described by Dante are invented and not possible according to real-world laws.

2. **Purgatorio**: This is portrayed as a mountain on the opposite side of the Earth from Jerusalem. The idea of Purgatory was a theological concept, but the physical mountain described by Dante does not exist and involves a moderate violation of real-world geography.

3. **Paradiso**: This realm is depicted as a series of celestial spheres surrounding the Earth, based on the Ptolemaic system. While the Ptolemaic model was accepted at the time, the specific heavenly realms described by Dante are not possible according to real-world laws.

Considering the medieval context and the theological basis for these settings, they involve moderate to extreme violations of real-world laws, but they were conceptually possible within the beliefs of the time. Therefore, the settings in The Divine Comedy are best categorized as invented locations whose existence is not possible and requires moderate violations of real-world laws.

Score=5",1,5,5,11
"Le Morte d’Arthur","Sir Thomas Malory",1485,"England","Le Morte d’Arthur by Sir Thomas Malory written in 1485","Le Morte d’Arthur by Sir Thomas Malory is a compilation of Arthurian legends, focusing on the legendary King Arthur, his knights, and the quest for the Holy Grail. The main protagonists, such as King Arthur, Sir Lancelot, and Merlin, are invented characters whose existence is not probable. However, they are based on a mix of historical figures, folklore, and mythological elements. In the context of the 15th century, these characters were often perceived as legendary but not entirely impossible, as they were rooted in the chivalric ideals and historical traditions of the time. Merlin, as a wizard, involves minor violations of real-world laws, but the other characters are more grounded in the realm of possibility, albeit improbable. Therefore, considering the historical context and beliefs of the period, the characters would be assessed as invented with improbable existence. Score=3","""Le Morte d’Arthur"" by Sir Thomas Malory is a compilation of Arthurian legends, which are a blend of historical elements and mythological embellishments. The work is set in a time that is believed to be around the late 5th to early 6th century, a period that is historically associated with the post-Roman era in Britain. 

The legends of King Arthur, the Knights of the Round Table, and the quest for the Holy Grail are central to the narrative. While there may be some historical basis for a leader like Arthur existing during this time, the specific events described in Malory's work, such as the magical elements, the existence of characters like Merlin, and the supernatural occurrences, are largely invented and involve significant violations of real-world laws as understood in the 15th century.

Given the worldview of people in the historical period when Malory wrote, the events would have been seen as legendary and not probable, but they were not entirely outside the realm of possibility due to the belief in magic and the supernatural. However, the extent of the magical and fantastical elements places the work in a category where the events are not possible and require moderate violations of real-world laws.

Score=5","""Le Morte d’Arthur"" by Sir Thomas Malory is a compilation of Arthurian legends, which are set in a mix of real and fictional locations. The work includes real geographical locations such as England and France, which were well-known to people in the 15th century. However, it also features invented places like Camelot and Avalon. 

Camelot, while a central location in Arthurian legend, is not a real place and is not based on any specific historical site. Its existence would be possible within the context of the medieval worldview, as it does not require any significant violation of the natural laws understood at the time. Avalon, on the other hand, is a mystical island associated with magic and the supernatural, which would have been seen as less probable but still within the realm of possibility given the medieval belief in magic and the supernatural.

Considering the historical context and the belief systems of the time, the invented locations in ""Le Morte d’Arthur"" involve minor violations of real-world laws, primarily due to their association with magic and the supernatural. Therefore, the work would be evaluated as involving invented locations whose existence is not possible but involves minor violations of real-world laws.

Score=4",3,5,4,12
